time_difference(sec),no_unique_points,data_interval
10.405725955963135, 995522, 0
12.392805099487305, 954706, 1000000
8.01065993309021, 922255, 2000000
7.483392000198364, 713818, 3000000
7.502072095870972, 676517, 4000000
7.182003021240234, 676659, 5000000
8.505635023117065, 684661, 6000000
9.52263593673706, 496019, 7000000
9.291184186935425, 424584, 8000000
15.626929998397827, 486119, 9000000
12.391601800918579, 451894, 10000000
10.875458002090454, 446043, 11000000
11.453963994979858, 416024, 12000000
10.397171020507812, 267098, 13000000
8.838989019393921, 253752, 14000000
8.625808954238892, 247540, 15000000
8.411713123321533, 245619, 16000000
7.504348993301392, 238399, 17000000
8.134673833847046, 244506, 18000000
10.136687994003296, 259971, 19000000
9.430649042129517, 257813, 20000000
10.686645984649658, 265731, 21000000
13.362365961074829, 282758, 22000000
9.223449945449829, 259686, 23000000
8.533203125, 247747, 24000000
8.052428960800171, 240677, 25000000
10.926467895507812, 206162, 26000000
13.195648193359375, 171194, 27000000
20.114044904708862, 194122, 28000000
10.604918956756592, 155970, 29000000
9.520203113555908, 150025, 30000000
9.596740961074829, 154436, 31000000
9.667145013809204, 157504, 32000000
8.346282958984375, 140965, 33000000
7.689726829528809, 139151, 34000000
8.061737060546875, 142072, 35000000
7.281280994415283, 139372, 36000000
10.741180181503296, 165786, 37000000
11.884368896484375, 167335, 38000000
21.202910900115967, 210578, 39000000
9.836273193359375, 152632, 40000000
8.683197021484375, 146528, 41000000
7.97918701171875, 142741, 42000000
6.70166015625, 135114, 43000000
7.005280017852783, 139112, 44000000
6.202818870544434, 131623, 45000000
6.447571039199829, 133220, 46000000
6.652587890625, 132753, 47000000
7.583191156387329, 136759, 48000000
7.4912109375, 138793, 49000000
9.211699962615967, 148846, 50000000
6.916474103927612, 138635, 51000000
7.066191911697388, 135980, 52000000
6.641571998596191, 102039, 53000000
6.242491960525513, 68972, 54000000
6.72918701171875, 70202, 55000000
8.001404047012329, 77664, 56000000
8.799804925918579, 73985, 57000000
9.690428972244263, 76393, 58000000
13.832520008087158, 86301, 59000000
12.30560302734375, 82744, 60000000
11.967590093612671, 80601, 61000000
10.315673828125, 79954, 62000000
7.773682117462158, 72939, 63000000
7.591797113418579, 70573, 64000000
6.722472906112671, 71032, 65000000
6.07806396484375, 68916, 66000000
6.051635026931763, 68690, 67000000
7.273499011993408, 73182, 68000000
6.390929937362671, 68223, 69000000
7.906983137130737, 73255, 70000000
7.092528820037842, 70185, 71000000
7.2884521484375, 73863, 72000000
6.4251708984375, 72520, 73000000
7.616698980331421, 76095, 74000000
5.973145008087158, 67042, 75000000
7.7711181640625, 70079, 76000000
6.35400390625, 69723, 77000000
6.196959972381592, 70512, 78000000
8.181274890899658, 77161, 79000000
8.6981201171875, 75675, 80000000
6.59912109375, 67849, 81000000
7.9007568359375, 69993, 82000000
11.612243175506592, 78613, 83000000
13.0657958984375, 84603, 84000000
14.627441883087158, 87517, 85000000
10.265320062637329, 79609, 86000000
6.136229991912842, 69005, 87000000
6.580077886581421, 69621, 88000000
7.218322992324829, 74354, 89000000
7.011841058731079, 71194, 90000000
6.275696039199829, 69314, 91000000
6.804991960525513, 70207, 92000000
7.809814929962158, 73192, 93000000
6.707762956619263, 68761, 94000000
7.762085199356079, 75727, 95000000
5.749755859375, 67103, 96000000
8.765442132949829, 73804, 97000000
6.955627918243408, 70313, 98000000
6.572813987731934, 68186, 99000000
6.085144996643066, 68315, 100000000
6.814513921737671, 69273, 101000000
7.502562999725342, 71105, 102000000
7.3021240234375, 69922, 103000000
10.410340070724487, 83147, 104000000
6.145446062088013, 69392, 105000000
6.990112781524658, 73485, 106000000
7.520691156387329, 75942, 107000000
6.190124034881592, 67070, 108000000
10.496642827987671, 76446, 109000000
6.527343988418579, 67879, 110000000
7.576416015625000, 75445, 111000000
6.796020030975342, 69551, 112000000
8.913819074630737, 75323, 113000000
6.582762956619263, 69888, 114000000
6.539306879043579, 68480, 115000000
9.901245117187500, 77881, 116000000
7.619201898574829, 69081, 117000000
5.733765125274658, 51372, 118000000
6.547363042831421, 34941, 119000000
7.522826910018921, 39894, 120000000
6.225342035293579, 34977, 121000000
7.343993902206421, 35978, 122000000
7.364501953125000, 37834, 123000000
6.919434070587158, 35064, 124000000
7.801146984100342, 38021, 125000000
6.716552972793579, 35713, 126000000
7.384276866912842, 38876, 127000000
8.777466058731079, 41657, 128000000
7.922363042831421, 39279, 129000000
8.318726062774658, 40028, 130000000
6.555785894393921, 25132, 131000000
